imie,nazwisko,miasto,ulica,nr_domu,nr_mieszkania
Bartek,Nowak,Chelmno,Stara,44,138
Bartek,Nowak,Bydgoszcz,Stara,52,33
Kamil,Jakios,Chelmno,Nowsza,52,47
Amelia,Nijak,Plonsk,Starsza,28,66
Jan,Jakios,Warszawa,Starsza,48,72
Bartek,Nowak,Bydgoszcz,Nowa,26,1
Jan,Abac,Warszawa,Nowa,20,103
Bartek,Nowak,Bydgoszcz,Stara,94,143
Kamil,Jakios,Chelmno,Nowsza,87,82
Amelia,Nijak,Plonsk,Starsza,9,120
Kamil,Nijak,Plonsk,Stara,34,23
Bartek,Nowak,Bydgoszcz,Stara,94,30
Kamil,Jakios,Chelmno,Nowsza,9,10
Amelia,Nijak,Plonsk,Starsza,4,61
Amelia,Jakios,Plonsk,Nowa,12,67
Kamil,Abac,Warszawa,Nowa,11,148
Jan,Abac,Warszawa,Nowa,70,29
Bartek,Nowak,Bydgoszcz,Stara,78,55
Kamil,Jakios,Chelmno,Nowsza,92,91
Amelia,Nijak,Plonsk,Starsza,34,76
Amelia,Abac,Chelmno,Starsza,43,79
Bartek,Nowak,Bydgoszcz,Stara,49,56
Kamil,Jakios,Chelmno,Nowsza,7,17
Amelia,Nijak,Plonsk,Starsza,55,123
Jan,Jakios,Bydgoszcz,Nowsza,67,40
Amelia,Jakios,Chelmno,Nowsza,91,49
Jan,Abac,Warszawa,Nowa,49,127
Bartek,Nowak,Bydgoszcz,Stara,20,36
Kamil,Jakios,Chelmno,Nowsza,12,96
Amelia,Nijak,Plonsk,Starsza,58,57
Kamil,Nowak,Plonsk,Nowsza,27,146
Bartek,Nowak,Bydgoszcz,Stara,74,143
Kamil,Jakios,Chelmno,Nowsza,75,133
Amelia,Nijak,Plonsk,Starsza,62,147
Amelia,Abac,Plonsk,Starsza,87,148
Amelia,Nijak,Plonsk,Nowa,94,75
Jan,Abac,Warszawa,Nowa,37,147
Bartek,Nowak,Bydgoszcz,Stara,30,144
Kamil,Jakios,Chelmno,Nowsza,64,146
Amelia,Nijak,Plonsk,Starsza,50,40
Bartek,Nowak,Bydgoszcz,Starsza,62,33
Bartek,Nowak,Bydgoszcz,Stara,39,40
Kamil,Jakios,Chelmno,Nowsza,96,53
Amelia,Nijak,Plonsk,Starsza,76,100
Amelia,Nijak,Plonsk,Nowa,17,103
Bartek,Nijak,Bydgoszcz,Starsza,27,17
Jan,Abac,Warszawa,Nowa,35,102
Bartek,Nowak,Bydgoszcz,Stara,85,37
Kamil,Jakios,Chelmno,Nowsza,68,75
Amelia,Nijak,Plonsk,Starsza,83,88
Kamil,Jakios,Plonsk,Stara,12,141
Bartek,Nowak,Bydgoszcz,Stara,85,104
Kamil,Jakios,Chelmno,Nowsza,60,43
Amelia,Nijak,Plonsk,Starsza,47,72
Jan,Nowak,Chelmno,Nowa,2,16
Amelia,Jakios,Bydgoszcz,Starsza,44,142
Jan,Abac,Warszawa,Nowa,98,108
Bartek,Nowak,Bydgoszcz,Stara,23,49
Kamil,Jakios,Chelmno,Nowsza,29,51
Amelia,Nijak,Plonsk,Starsza,36,100
Amelia,Jakios,Plonsk,Starsza,54,126
Bartek,Nowak,Bydgoszcz,Stara,60,130
Kamil,Jakios,Chelmno,Nowsza,10,95
Amelia,Nijak,Plonsk,Starsza,54,72
Jan,Jakios,Plonsk,Starsza,36,62
Bartek,Jakios,Chelmno,Starsza,12,62
Jan,Abac,Warszawa,Nowa,29,109
Bartek,Nowak,Bydgoszcz,Stara,20,122
Kamil,Jakios,Chelmno,Nowsza,24,137
Amelia,Nijak,Plonsk,Starsza,21,55
Kamil,Abac,Warszawa,Starsza,4,88
Bartek,Nowak,Bydgoszcz,Stara,13,49
Kamil,Jakios,Chelmno,Nowsza,95,73
Amelia,Nijak,Plonsk,Starsza,37,80
Jan,Nowak,Warszawa,Stara,58,50
Bartek,Nowak,Warszawa,Stara,94,147
Jan,Abac,Warszawa,Nowa,93,64
Bartek,Nowak,Bydgoszcz,Stara,20,35
Kamil,Jakios,Chelmno,Nowsza,98,107
Amelia,Nijak,Plonsk,Starsza,44,136
Kamil,Jakios,Warszawa,Nowa,7,66
Bartek,Nowak,Bydgoszcz,Stara,35,60
Kamil,Jakios,Chelmno,Nowsza,77,80
Amelia,Nijak,Plonsk,Starsza,49,72
Bartek,Nijak,Bydgoszcz,Nowa,10,118
Jan,Nijak,Warszawa,Starsza,31,19
Jan,Abac,Warszawa,Nowa,78,61
Bartek,Nowak,Bydgoszcz,Stara,90,49
Kamil,Jakios,Chelmno,Nowsza,82,23
Amelia,Nijak,Plonsk,Starsza,31,43
Kamil,Nowak,Warszawa,Starsza,87,81
Bartek,Nowak,Bydgoszcz,Stara,2,68
Kamil,Jakios,Chelmno,Nowsza,20,76
Amelia,Nijak,Plonsk,Starsza,32,33
Bartek,Abac,Plonsk,Stara,19,96
Kamil,Jakios,Plonsk,Nowa,77,32
Jan,Abac,Warszawa,Nowa,63,67
Bartek,Nowak,Bydgoszcz,Stara,67,18
Kamil,Jakios,Chelmno,Nowsza,37,110
Amelia,Nijak,Plonsk,Starsza,71,83
Amelia,Abac,Warszawa,Starsza,52,48
Bartek,Nowak,Bydgoszcz,Stara,77,82
Kamil,Jakios,Chelmno,Nowsza,53,108
Amelia,Nijak,Plonsk,Starsza,93,121
Kamil,Jakios,Warszawa,Nowsza,80,113
Kamil,Jakios,Chelmno,Starsza,18,111
Jan,Abac,Warszawa,Nowa,10,142
Bartek,Nowak,Bydgoszcz,Stara,58,88
Kamil,Jakios,Chelmno,Nowsza,24,112
Amelia,Nijak,Plonsk,Starsza,54,54
Amelia,Jakios,Bydgoszcz,Nowsza,27,100
Bartek,Nowak,Bydgoszcz,Stara,97,145
Kamil,Jakios,Chelmno,Nowsza,35,35
Amelia,Nijak,Plonsk,Starsza,94,105
Bartek,Abac,Chelmno,Nowsza,78,67
Jan,Nijak,Chelmno,Nowsza,35,124
Jan,Abac,Warszawa,Nowa,51,147
Bartek,Nowak,Bydgoszcz,Stara,9,101
Kamil,Jakios,Chelmno,Nowsza,16,2
Amelia,Nijak,Plonsk,Starsza,16,54
Jan,Jakios,Warszawa,Starsza,93,53
Bartek,Nowak,Bydgoszcz,Stara,2,143
Kamil,Jakios,Chelmno,Nowsza,47,125
Amelia,Nijak,Plonsk,Starsza,33,132
Jan,Abac,Plonsk,Starsza,27,45
Amelia,Abac,Chelmno,Nowsza,36,46
Jan,Abac,Warszawa,Nowa,66,93
Bartek,Nowak,Bydgoszcz,Stara,52,22
Kamil,Jakios,Chelmno,Nowsza,83,110
Amelia,Nijak,Plonsk,Starsza,45,142
Amelia,Abac,Warszawa,Nowa,67,71
Bartek,Nowak,Bydgoszcz,Stara,64,73
Kamil,Jakios,Chelmno,Nowsza,71,84
Amelia,Nijak,Plonsk,Starsza,10,85
Bartek,Jakios,Plonsk,Starsza,56,55
Jan,Nijak,Plonsk,Nowsza,52,95
Jan,Abac,Warszawa,Nowa,14,11
Bartek,Nowak,Bydgoszcz,Stara,32,75
Kamil,Jakios,Chelmno,Nowsza,49,125
Amelia,Nijak,Plonsk,Starsza,68,121
Bartek,Nijak,Warszawa,Starsza,38,101
Bartek,Nowak,Bydgoszcz,Stara,16,65
Kamil,Jakios,Chelmno,Nowsza,11,92
Amelia,Nijak,Plonsk,Starsza,88,76
Kamil,Nijak,Bydgoszcz,Nowa,38,56
Jan,Jakios,Warszawa,Nowa,30,45
Jan,Abac,Warszawa,Nowa,89,144
Bartek,Nowak,Bydgoszcz,Stara,78,62
Kamil,Jakios,Chelmno,Nowsza,97,18
Amelia,Nijak,Plonsk,Starsza,10,100
Bartek,Nijak,Plonsk,Starsza,45,129
Bartek,Nowak,Bydgoszcz,Stara,44,25
Kamil,Jakios,Chelmno,Nowsza,27,105
Amelia,Nijak,Plonsk,Starsza,48,117
Amelia,Nowak,Bydgoszcz,Nowa,42,121
Bartek,Nijak,Plonsk,Stara,39,129
Jan,Abac,Warszawa,Nowa,58,129
Bartek,Nowak,Bydgoszcz,Stara,11,76
Kamil,Jakios,Chelmno,Nowsza,75,81
Amelia,Nijak,Plonsk,Starsza,83,94
Jan,Nijak,Bydgoszcz,Stara,56,136
Bartek,Nowak,Bydgoszcz,Stara,99,33
Kamil,Jakios,Chelmno,Nowsza,88,74
Amelia,Nijak,Plonsk,Starsza,72,18
Jan,Abac,Plonsk,Nowa,80,7
Kamil,Abac,Warszawa,Nowsza,82,47
Jan,Abac,Warszawa,Nowa,10,22
Bartek,Nowak,Bydgoszcz,Stara,47,58
Kamil,Jakios,Chelmno,Nowsza,86,146
Amelia,Nijak,Plonsk,Starsza,49,66
Amelia,Abac,Warszawa,Starsza,84,110
Bartek,Nowak,Bydgoszcz,Stara,51,54
Kamil,Jakios,Chelmno,Nowsza,50,26
Amelia,Nijak,Plonsk,Starsza,38,27
Amelia,Abac,Bydgoszcz,Starsza,48,59
Kamil,Nijak,Chelmno,Starsza,27,106
Jan,Abac,Warszawa,Nowa,22,129
Bartek,Nowak,Bydgoszcz,Stara,66,17
Kamil,Jakios,Chelmno,Nowsza,61,9
Amelia,Nijak,Plonsk,Starsza,67,21
Amelia,Nowak,Bydgoszcz,Nowsza,60,13
Bartek,Nowak,Bydgoszcz,Stara,37,34
Kamil,Jakios,Chelmno,Nowsza,83,90
Amelia,Nijak,Plonsk,Starsza,57,91
Amelia,Nowak,Chelmno,Starsza,73,118
Amelia,Nijak,Bydgoszcz,Starsza,6,33
Jan,Abac,Warszawa,Nowa,70,74
Bartek,Nowak,Bydgoszcz,Stara,48,124
Kamil,Jakios,Chelmno,Nowsza,73,51
Amelia,Nijak,Plonsk,Starsza,65,23
Kamil,Jakios,Bydgoszcz,Nowa,39,15
Bartek,Nowak,Bydgoszcz,Stara,87,68
Kamil,Jakios,Chelmno,Nowsza,47,60
Amelia,Nijak,Plonsk,Starsza,42,70
Kamil,Jakios,Chelmno,Starsza,7,60
Jan,Jakios,Warszawa,Nowa,54,141
Jan,Abac,Warszawa,Nowa,76,113
Bartek,Nowak,Bydgoszcz,Stara,30,147
Kamil,Jakios,Chelmno,Nowsza,19,112
Amelia,Nijak,Plonsk,Starsza,89,45
Bartek,Nowak,Warszawa,Starsza,26,37
Bartek,Nowak,Bydgoszcz,Stara,94,84
Kamil,Jakios,Chelmno,Nowsza,13,107
Amelia,Nijak,Plonsk,Starsza,33,150
Bartek,Nowak,Plonsk,Stara,82,50
Kamil,Abac,Plonsk,Stara,95,149
Jan,Abac,Warszawa,Nowa,31,8
Bartek,Nowak,Bydgoszcz,Stara,32,61
Kamil,Jakios,Chelmno,Nowsza,64,127
Amelia,Nijak,Plonsk,Starsza,95,145
Jan,Abac,Chelmno,Nowa,18,149
Bartek,Nowak,Bydgoszcz,Stara,63,1
Kamil,Jakios,Chelmno,Nowsza,16,110
Amelia,Nijak,Plonsk,Starsza,19,138
Amelia,Nijak,Warszawa,Nowsza,32,71
Bartek,Nijak,Plonsk,Nowsza,65,114
Jan,Abac,Warszawa,Nowa,94,68
Bartek,Nowak,Bydgoszcz,Stara,29,67
Kamil,Jakios,Chelmno,Nowsza,30,52
Amelia,Nijak,Plonsk,Starsza,41,150
Amelia,Nijak,Warszawa,Nowsza,9,54
Bartek,Nowak,Bydgoszcz,Stara,97,118
Kamil,Jakios,Chelmno,Nowsza,21,1
Amelia,Nijak,Plonsk,Starsza,15,18
Bartek,Jakios,Bydgoszcz,Nowsza,46,9
Amelia,Nowak,Bydgoszcz,Nowsza,10,7
Jan,Abac,Warszawa,Nowa,98,89
Bartek,Nowak,Bydgoszcz,Stara,69,45
Kamil,Jakios,Chelmno,Nowsza,76,141
Amelia,Nijak,Plonsk,Starsza,40,89
Bartek,Abac,Bydgoszcz,Stara,93,130
Bartek,Nowak,Bydgoszcz,Stara,13,81
Kamil,Jakios,Chelmno,Nowsza,77,13
Amelia,Nijak,Plonsk,Starsza,13,40
Kamil,Abac,Plonsk,Stara,57,86
Jan,Jakios,Warszawa,Nowa,38,76
Jan,Abac,Warszawa,Nowa,59,138
Bartek,Nowak,Bydgoszcz,Stara,92,5
Kamil,Jakios,Chelmno,Nowsza,94,142
Amelia,Nijak,Plonsk,Starsza,98,72
Bartek,Abac,Bydgoszcz,Stara,92,41
Bartek,Nowak,Bydgoszcz,Stara,98,33
Kamil,Jakios,Chelmno,Nowsza,92,143
Amelia,Nijak,Plonsk,Starsza,78,148
Jan,Nowak,Chelmno,Nowa,69,20
Amelia,Nijak,Warszawa,Nowa,28,138
Jan,Abac,Warszawa,Nowa,41,7
Bartek,Nowak,Bydgoszcz,Stara,44,69
Kamil,Jakios,Chelmno,Nowsza,21,67
Amelia,Nijak,Plonsk,Starsza,25,92
Bartek,Nijak,Chelmno,Nowa,78,60
Bartek,Nowak,Bydgoszcz,Stara,50,141
Kamil,Jakios,Chelmno,Nowsza,78,20
Amelia,Nijak,Plonsk,Starsza,67,146
Kamil,Abac,Chelmno,Starsza,50,43
Jan,Nowak,Bydgoszcz,Nowa,97,109
Jan,Abac,Warszawa,Nowa,75,50
Bartek,Nowak,Bydgoszcz,Stara,90,137
Kamil,Jakios,Chelmno,Nowsza,81,108
Amelia,Nijak,Plonsk,Starsza,55,30
Jan,Jakios,Bydgoszcz,Starsza,76,145
Bartek,Nowak,Bydgoszcz,Stara,16,43
Kamil,Jakios,Chelmno,Nowsza,20,119
Amelia,Nijak,Plonsk,Starsza,22,37
Kamil,Nijak,Bydgoszcz,Stara,77,81
Bartek,Nowak,Warszawa,Nowsza,39,12
Jan,Abac,Warszawa,Nowa,35,52
Bartek,Nowak,Bydgoszcz,Stara,32,133
Kamil,Jakios,Chelmno,Nowsza,50,45
Amelia,Nijak,Plonsk,Starsza,41,54
Kamil,Jakios,Bydgoszcz,Nowa,17,123
Bartek,Nowak,Bydgoszcz,Stara,71,33
Kamil,Jakios,Chelmno,Nowsza,2,43
Amelia,Nijak,Plonsk,Starsza,52,21
Bartek,Nowak,Warszawa,Stara,29,135
Kamil,Jakios,Warszawa,Nowa,40,39
Jan,Abac,Warszawa,Nowa,64,108
Bartek,Nowak,Bydgoszcz,Stara,51,111
Kamil,Jakios,Chelmno,Nowsza,18,21
Amelia,Nijak,Plonsk,Starsza,79,106
Jan,Nowak,Chelmno,Stara,88,142
Bartek,Nowak,Bydgoszcz,Stara,86,141
Kamil,Jakios,Chelmno,Nowsza,21,132
Amelia,Nijak,Plonsk,Starsza,93,67
Bartek,Jakios,Bydgoszcz,Nowsza,62,72
Amelia,Nijak,Chelmno,Starsza,67,105
Jan,Abac,Warszawa,Nowa,58,52
Bartek,Nowak,Bydgoszcz,Stara,86,147
Kamil,Jakios,Chelmno,Nowsza,91,34
Amelia,Nijak,Plonsk,Starsza,64,55
Jan,Nijak,Bydgoszcz,Starsza,48,15
Bartek,Nowak,Bydgoszcz,Stara,42,3
Kamil,Jakios,Chelmno,Nowsza,22,137
Amelia,Nijak,Plonsk,Starsza,74,107
Kamil,Jakios,Bydgoszcz,Nowsza,53,18
Kamil,Abac,Chelmno,Stara,44,3
Jan,Abac,Warszawa,Nowa,21,146
Bartek,Nowak,Bydgoszcz,Stara,98,82
Kamil,Jakios,Chelmno,Nowsza,86,138
Amelia,Nijak,Plonsk,Starsza,32,83
Kamil,Abac,Bydgoszcz,Starsza,78,71
Bartek,Nowak,Bydgoszcz,Stara,66,38
Kamil,Jakios,Chelmno,Nowsza,19,3
Amelia,Nijak,Plonsk,Starsza,56,15
Kamil,Jakios,Chelmno,Stara,45,105
Amelia,Nowak,Warszawa,Nowa,1,140
Jan,Abac,Warszawa,Nowa,24,96
Bartek,Nowak,Bydgoszcz,Stara,87,11
Kamil,Jakios,Chelmno,Nowsza,46,147
Amelia,Nijak,Plonsk,Starsza,12,8
Kamil,Abac,Plonsk,Nowsza,47,8
Bartek,Nowak,Bydgoszcz,Stara,53,114
Kamil,Jakios,Chelmno,Nowsza,8,74
Amelia,Nijak,Plonsk,Starsza,82,82
Amelia,Abac,Plonsk,Nowa,75,109
Jan,Jakios,Plonsk,Nowsza,31,110
Jan,Abac,Warszawa,Nowa,82,30
Bartek,Nowak,Bydgoszcz,Stara,97,60
Kamil,Jakios,Chelmno,Nowsza,55,24
Amelia,Nijak,Plonsk,Starsza,78,32
Kamil,Nijak,Chelmno,Stara,66,7
Bartek,Nowak,Bydgoszcz,Stara,39,31
Kamil,Jakios,Chelmno,Nowsza,44,150
Amelia,Nijak,Plonsk,Starsza,90,57
Kamil,Jakios,Chelmno,Starsza,43,4
Amelia,Abac,Bydgoszcz,Starsza,3,70
Jan,Abac,Warszawa,Nowa,77,33
Bartek,Nowak,Bydgoszcz,Stara,80,68
Kamil,Jakios,Chelmno,Nowsza,35,76
Amelia,Nijak,Plonsk,Starsza,75,128
Kamil,Jakios,Warszawa,Starsza,76,5
Bartek,Nowak,Bydgoszcz,Stara,13,80
Kamil,Jakios,Chelmno,Nowsza,84,4
Amelia,Nijak,Plonsk,Starsza,80,71
Amelia,Nijak,Chelmno,Starsza,27,144
Amelia,Abac,Chelmno,Nowsza,20,121
Jan,Abac,Warszawa,Nowa,93,140
Bartek,Nowak,Bydgoszcz,Stara,25,51
Kamil,Jakios,Chelmno,Nowsza,23,80
Amelia,Nijak,Plonsk,Starsza,47,139
Bartek,Nijak,Plonsk,Stara,30,54
Bartek,Nowak,Bydgoszcz,Stara,12,22
Kamil,Jakios,Chelmno,Nowsza,1,66
Amelia,Nijak,Plonsk,Starsza,52,45
Amelia,Nowak,Bydgoszcz,Nowa,67,64
Kamil,Abac,Bydgoszcz,Starsza,99,30
Jan,Abac,Warszawa,Nowa,48,95
Bartek,Nowak,Bydgoszcz,Stara,4,30
Kamil,Jakios,Chelmno,Nowsza,87,133
Amelia,Nijak,Plonsk,Starsza,57,71
Jan,Nowak,Bydgoszcz,Nowsza,89,68
Bartek,Nowak,Bydgoszcz,Stara,51,106
Kamil,Jakios,Chelmno,Nowsza,59,82
Amelia,Nijak,Plonsk,Starsza,77,37
Kamil,Jakios,Chelmno,Starsza,69,147
Amelia,Nijak,Chelmno,Nowsza,52,16
Jan,Abac,Warszawa,Nowa,14,75
Bartek,Nowak,Bydgoszcz,Stara,56,147
Kamil,Jakios,Chelmno,Nowsza,90,25
Amelia,Nijak,Plonsk,Starsza,100,96
Amelia,Jakios,Plonsk,Stara,30,60
Bartek,Nowak,Bydgoszcz,Stara,34,100
Kamil,Jakios,Chelmno,Nowsza,11,85
Amelia,Nijak,Plonsk,Starsza,58,83
Jan,Abac,Plonsk,Nowa,98,54
Amelia,Abac,Warszawa,Nowa,82,68
Jan,Abac,Warszawa,Nowa,38,146
Bartek,Nowak,Bydgoszcz,Stara,99,59
Kamil,Jakios,Chelmno,Nowsza,16,24
Amelia,Nijak,Plonsk,Starsza,55,86
Jan,Nijak,Bydgoszcz,Starsza,99,48
Bartek,Nowak,Bydgoszcz,Stara,73,31
Kamil,Jakios,Chelmno,Nowsza,12,25
Amelia,Nijak,Plonsk,Starsza,39,8
Amelia,Jakios,Warszawa,Nowsza,77,39
Amelia,Nijak,Plonsk,Stara,28,148
Jan,Abac,Warszawa,Nowa,80,113
Bartek,Nowak,Bydgoszcz,Stara,99,107
Kamil,Jakios,Chelmno,Nowsza,27,120
Amelia,Nijak,Plonsk,Starsza,13,75
Kamil,Abac,Bydgoszcz,Starsza,68,66
Bartek,Nowak,Bydgoszcz,Stara,57,148
Kamil,Jakios,Chelmno,Nowsza,30,113
Amelia,Nijak,Plonsk,Starsza,8,112
Amelia,Nijak,Chelmno,Starsza,40,115
Jan,Jakios,Bydgoszcz,Starsza,22,116
Jan,Abac,Warszawa,Nowa,55,40
Bartek,Nowak,Bydgoszcz,Stara,92,84
Kamil,Jakios,Chelmno,Nowsza,74,85
Amelia,Nijak,Plonsk,Starsza,13,110
Kamil,Abac,Warszawa,Nowa,3,91
Bartek,Nowak,Bydgoszcz,Stara,32,54
Kamil,Jakios,Chelmno,Nowsza,96,49
Amelia,Nijak,Plonsk,Starsza,84,135
Amelia,Abac,Warszawa,Nowa,77,106
Amelia,Nowak,Chelmno,Starsza,57,124
Jan,Abac,Warszawa,Nowa,47,80
Bartek,Nowak,Bydgoszcz,Stara,26,51
Kamil,Jakios,Chelmno,Nowsza,28,87
Amelia,Nijak,Plonsk,Starsza,41,9
Jan,Nowak,Bydgoszcz,Nowsza,93,78
Bartek,Nowak,Bydgoszcz,Stara,57,41
Kamil,Jakios,Chelmno,Nowsza,67,79
Amelia,Nijak,Plonsk,Starsza,70,149
Kamil,Nijak,Warszawa,Starsza,29,29
Bartek,Abac,Chelmno,Nowsza,27,14
Jan,Abac,Warszawa,Nowa,28,137
Bartek,Nowak,Bydgoszcz,Stara,74,134
Kamil,Jakios,Chelmno,Nowsza,33,43
Amelia,Nijak,Plonsk,Starsza,92,141
Kamil,Nijak,Chelmno,Nowsza,15,39
Bartek,Nowak,Bydgoszcz,Stara,63,118
Kamil,Jakios,Chelmno,Nowsza,61,37
Amelia,Nijak,Plonsk,Starsza,43,7
Jan,Nijak,Warszawa,Stara,56,48
Bartek,Jakios,Chelmno,Nowsza,9,149
Jan,Abac,Warszawa,Nowa,50,84
Bartek,Nowak,Bydgoszcz,Stara,4,72
Kamil,Jakios,Chelmno,Nowsza,45,75
Amelia,Nijak,Plonsk,Starsza,45,40
Amelia,Nowak,Warszawa,Nowsza,30,126
Bartek,Nowak,Bydgoszcz,Stara,81,107
Kamil,Jakios,Chelmno,Nowsza,63,54
Amelia,Nijak,Plonsk,Starsza,86,23
Jan,Nijak,Bydgoszcz,Nowa,23,35
Jan,Jakios,Warszawa,Stara,48,23
Jan,Abac,Warszawa,Nowa,43,141
Bartek,Nowak,Bydgoszcz,Stara,60,145
Kamil,Jakios,Chelmno,Nowsza,71,56
Amelia,Nijak,Plonsk,Starsza,33,130
Bartek,Abac,Chelmno,Starsza,86,24
Bartek,Nowak,Bydgoszcz,Stara,93,69
Kamil,Jakios,Chelmno,Nowsza,72,42
Amelia,Nijak,Plonsk,Starsza,46,131
Kamil,Jakios,Plonsk,Nowsza,71,74
Jan,Nijak,Warszawa,Nowsza,22,12
Jan,Abac,Warszawa,Nowa,42,94
Bartek,Nowak,Bydgoszcz,Stara,69,38
Kamil,Jakios,Chelmno,Nowsza,52,5
Amelia,Nijak,Plonsk,Starsza,44,76
Amelia,Nijak,Plonsk,Starsza,11,101
Bartek,Nowak,Bydgoszcz,Stara,60,129
Kamil,Jakios,Chelmno,Nowsza,61,117
Amelia,Nijak,Plonsk,Starsza,56,37
Bartek,Jakios,Bydgoszcz,Stara,51,73
Jan,Nowak,Plonsk,Stara,41,52
Jan,Abac,Warszawa,Nowa,97,133
Bartek,Nowak,Bydgoszcz,Stara,80,85
Kamil,Jakios,Chelmno,Nowsza,74,134
Amelia,Nijak,Plonsk,Starsza,11,129
Jan,Nijak,Warszawa,Nowa,8,139
Bartek,Nowak,Bydgoszcz,Stara,51,106
Kamil,Jakios,Chelmno,Nowsza,47,1
Amelia,Nijak,Plonsk,Starsza,19,139
Jan,Nijak,Bydgoszcz,Starsza,53,122
Jan,Nowak,Bydgoszcz,Starsza,9,9
Jan,Abac,Warszawa,Nowa,89,56
Bartek,Nowak,Bydgoszcz,Stara,65,44
Kamil,Jakios,Chelmno,Nowsza,6,36
Amelia,Nijak,Plonsk,Starsza,57,9
Kamil,Nowak,Warszawa,Starsza,85,81
Bartek,Nowak,Bydgoszcz,Stara,64,144
Kamil,Jakios,Chelmno,Nowsza,43,112
Amelia,Nijak,Plonsk,Starsza,83,105
Jan,Nowak,Chelmno,Starsza,59,56
Bartek,Nijak,Warszawa,Nowa,30,36
Jan,Abac,Warszawa,Nowa,69,140
Bartek,Nowak,Bydgoszcz,Stara,85,117
Kamil,Jakios,Chelmno,Nowsza,61,89
Amelia,Nijak,Plonsk,Starsza,27,111
Jan,Nowak,Chelmno,Nowa,12,92
Bartek,Nowak,Bydgoszcz,Stara,19,50
Kamil,Jakios,Chelmno,Nowsza,77,123
Amelia,Nijak,Plonsk,Starsza,49,83
Kamil,Nowak,Warszawa,Nowsza,92,17
Kamil,Abac,Plonsk,Starsza,75,83
Jan,Abac,Warszawa,Nowa,75,121
Bartek,Nowak,Bydgoszcz,Stara,90,22
Kamil,Jakios,Chelmno,Nowsza,4,126
Amelia,Nijak,Plonsk,Starsza,49,89
Jan,Nowak,Warszawa,Stara,94,100
Bartek,Nowak,Bydgoszcz,Stara,86,150
Kamil,Jakios,Chelmno,Nowsza,98,133
Amelia,Nijak,Plonsk,Starsza,100,32
Bartek,Jakios,Bydgoszcz,Nowsza,17,80
Jan,Jakios,Bydgoszcz,Nowa,62,132
Jan,Abac,Warszawa,Nowa,97,9
Bartek,Nowak,Bydgoszcz,Stara,36,143
Kamil,Jakios,Chelmno,Nowsza,39,139
Amelia,Nijak,Plonsk,Starsza,36,130
Kamil,Jakios,Plonsk,Nowsza,65,117
Bartek,Nowak,Bydgoszcz,Stara,62,22
Kamil,Jakios,Chelmno,Nowsza,73,121
Amelia,Nijak,Plonsk,Starsza,22,116
Amelia,Abac,Chelmno,Nowsza,76,16
Kamil,Nowak,Chelmno,Stara,100,52
Jan,Abac,Warszawa,Nowa,84,136
Bartek,Nowak,Bydgoszcz,Stara,37,23
Kamil,Jakios,Chelmno,Nowsza,14,27
Amelia,Nijak,Plonsk,Starsza,38,66
Bartek,Nijak,Bydgoszcz,Starsza,47,136
Bartek,Nowak,Bydgoszcz,Stara,85,35
Kamil,Jakios,Chelmno,Nowsza,56,43
Amelia,Nijak,Plonsk,Starsza,17,97
Amelia,Nowak,Plonsk,Starsza,8,129
Bartek,Nowak,Bydgoszcz,Starsza,66,71
Jan,Abac,Warszawa,Nowa,2,10
Bartek,Nowak,Bydgoszcz,Stara,85,2
Kamil,Jakios,Chelmno,Nowsza,75,105
Amelia,Nijak,Plonsk,Starsza,1,9
Jan,Nijak,Chelmno,Nowa,68,24
Bartek,Nowak,Bydgoszcz,Stara,74,62
Kamil,Jakios,Chelmno,Nowsza,19,137
Amelia,Nijak,Plonsk,Starsza,91,26
Bartek,Jakios,Plonsk,Nowsza,20,34
Bartek,Nijak,Warszawa,Stara,40,127
Jan,Abac,Warszawa,Nowa,14,109
Bartek,Nowak,Bydgoszcz,Stara,60,49
Kamil,Jakios,Chelmno,Nowsza,64,52
Amelia,Nijak,Plonsk,Starsza,34,128
Bartek,Abac,Chelmno,Nowsza,83,145
Bartek,Nowak,Bydgoszcz,Stara,26,105
Kamil,Jakios,Chelmno,Nowsza,62,126
Amelia,Nijak,Plonsk,Starsza,22,136
Bartek,Jakios,Bydgoszcz,Stara,65,93
Bartek,Jakios,Warszawa,Nowa,77,22
Jan,Abac,Warszawa,Nowa,10,121
Bartek,Nowak,Bydgoszcz,Stara,99,56
Kamil,Jakios,Chelmno,Nowsza,43,61
Amelia,Nijak,Plonsk,Starsza,57,12
Jan,Abac,Warszawa,Nowsza,47,89
Bartek,Nowak,Bydgoszcz,Stara,38,17
Kamil,Jakios,Chelmno,Nowsza,38,94
Amelia,Nijak,Plonsk,Starsza,74,84
Jan,Nowak,Plonsk,Nowa,96,76
Amelia,Jakios,Chelmno,Nowa,41,130
Jan,Abac,Warszawa,Nowa,62,58
Bartek,Nowak,Bydgoszcz,Stara,31,123
Kamil,Jakios,Chelmno,Nowsza,53,127
Amelia,Nijak,Plonsk,Starsza,89,134
Bartek,Abac,Warszawa,Stara,78,117
Bartek,Nowak,Bydgoszcz,Stara,1,88
Kamil,Jakios,Chelmno,Nowsza,90,25
Amelia,Nijak,Plonsk,Starsza,1,33
Jan,Jakios,Chelmno,Nowsza,15,140
Bartek,Abac,Plonsk,Nowsza,71,12
Jan,Abac,Warszawa,Nowa,61,6
